63.848	29.988	4.0988	31277	4.8939	353.04
3.2455	6.5077	241.22	42685	5.5274	337.01
96.805	12.377	77.124	33205	5.2665	324.36
37.372	28.74	3.0849	21417	4.4952	311.9
65.565	24.523	9.8656	29150	5.1063	310.01
50.843	13.523	5.157	32970	5.2785	308.09
14.161	28.095	31.986	26887	4.9533	303.89
63.472	2.8271	26.776	29003	5.1109	301.49
81.952	20.248	46.528	29332	5.1419	300.1
55.572	22.034	8.9249	28998	5.1269	294.12
2.2408	22.534	142.14	26850	5.0495	292.86
85.929	37.452	73.481	28202	5.1242	288.27
71.627	45.184	13.171	26578	5.0729	289.1
94.61	38.617	46.129	25344	5.0316	281.04
67.798	8.1168	29.245	25971	5.0573	280.05
65.034	47.742	52.391	27367	5.1772	276.39
37.261	2.313	46.939	22431	4.942	272.32
61.801	22.882	42.37	24643	5.092	269.26
49.565	32.679	18.28	26506	5.2243	269.02
43.56	22.787	67.844	25814	5.1615	266.99
68.205	14.761	61.354	25309	5.1566	266.82
77.145	26.797	89.738	23228	5.0279	262.85
99.417	25.386	12.138	12711	4.2214	261.58
51.495	6.6588	98.529	26110	5.2255	259.86
30.978	11.366	78.69	24337	5.0758	257.93
59.645	41.67	113.76	24986	5.2208	257.31
61.903	10.251	89.176	22342	4.973	256.83
61.414	18.634	13.687	25025	5.1078	257.34
74.922	24.675	3.1372	14605	4.5547	255.57
94.516	39.997	28.389	22215	4.9621	253.88
4.6352	23.285	64.179	29761	5.4968	252.78
21.775	8.0947	78.095	24427	5.1767	250.3
43.008	23.625	117.55	22609	5.1112	249.54
46.938	22.654	125.27	24126	5.1806	247.66
92.111	50.234	107.17	23162	5.1103	246.46
54.516	30.672	49.663	22259	5.0694	244.79
23.337	18.363	26.246	22175	5.0678	242.73
78.736	11.02	122.17	22857	5.0597	240.39
65.837	14.869	30.968	20194	4.8687	238.44
78.927	15.95	175.5	21612	5.0729	236.01
82.03	8.5673	143.2	18925	4.8542	235.99
43.614	5.0983	139.99	22889	5.1745	236.44
20.827	8.7522	111.85	20482	4.956	236.63
19.191	37.762	103.52	23012	5.1823	235.82
5.3713	31.007	79.947	24182	5.2148	235.21
50.136	27.07	237.67	20084	4.9869	232.54
10.821	34.625	135.31	24850	5.3813	232.99
5.4894	8.8313	126.72	24122	5.2895	232.03
33.882	34.717	115.78	23221	5.1846	231.8
32.48	41.358	54.476	22931	5.2244	232.06
97.874	17.388	239.93	22664	5.187	229.91
60.763	18.317	127.69	19061	4.9694	229.56
10.289	35.656	142.6	24310	5.4099	228.01
17.742	48.618	28.36	20330	5.0492	227.72
75.452	21.057	124.96	20783	5.0532	227.07
29.089	18.085	115.39	20528	5.014	225.72
73.169	7.5325	183.81	20663	5.1385	221.94
20.117	17.516	57.746	16901	4.7138	220.96
30.213	35.605	57.914	18639	4.9905	219.82
37.038	5.7096	158.19	19264	5.0075	218.58
62.933	7.3568	148.06	17992	4.9147	216.18
72.424	22.724	142.2	19204	5.0763	215.38
98.817	42.716	128.59	17651	4.9075	215.2
96.795	22.186	246.68	19422	5.0571	214.45
74.418	17.344	208.27	16793	4.9346	214.99
74.86	29.795	142.85	17787	4.9283	213.22
18.657	14.656	78.77	18301	4.9209	213.19
37.672	25.778	244.2	17638	5.0324	212.12
19.008	42.669	188.19	20138	5.0655	211.04
75.101	53.268	73.276	20393	5.1034	212.08
84.453	46.13	215.41	18812	5.2144	210.85
82.238	53.499	47.319	20112	5.1059	209.71
